S.NO,GENDER,REGION,SSLC MARKS,BOARD,PUC MARKS,BOARD,CGPA,INTERNSHIP,WORK EXPERIENCE,BRANCH,PLACED/NOT PLACED
635,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, Yes, CS, Placed
636,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
637,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, No, EC, Not Placed
638,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, No, CV, Placed
639,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes, No, EE, Placed
640,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME, Not Placed
641,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, Yes, CV, Not Placed
642,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, Yes, EC, Placed
643,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes, Yes, CS, Placed
644,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE, Not Placed
645,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME, Placed
646,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS, Not Placed
647,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, Yes, CS, Placed
648,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
649,Male, Urban,78.5, State Board,85.5, ICSE,7.3, No, Yes, CS, Not Placed
650,Female, Rural,79.2, ICSE,86.7, ICSE,7.7, No, No, EE, Not Placed
651,Male, Rural,81.3, CBSE,89.6, CBSE,8.4, Yes, Yes, ME, Placed
652,Female, Rural,73.6, State Board,79.8, State Board,7.6, No, No, IS, Not Placed
653,Male, Urban,86.2, ICSE,91.5, ICSE,8.8, Yes, Yes, CS, Placed
654,Female, Rural,68.9, State Board,74.2, State Board,7, No, No, CV, Not Placed
655,Male, Urban,79.4, CBSE,88.7, CBSE,8, Yes, Yes, EE, Placed
656,Female, Rural,76.9, State Board,83.2, State Board,7.8, No, No, ME, Not Placed
657,Male, Urban,85.1, ICSE,90.9, ICSE,8.7, Yes, No, CS, Placed
658,Female, Rural,72.8, CBSE,80.4, CBSE,7.4, No, No, IS, Not Placed
659,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, No, CS, Placed
660,Female, Rural,78.4, State Board,85, State Board,7.8, No, No, EC, Not Placed
661,Male, Urban,92.5, ICSE,90.2, ICSE,9.1, Yes, No, IS, Placed
662,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, No, ME, Not Placed
663,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, No, CS, Placed
664,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, Yes, EE, Placed
665,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
666,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS, Placed
667,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC, Not Placed
668,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes, Yes, CS, Placed
669,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, Yes, ME, Placed
670,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE, Placed
671,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
672,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS, Placed
673,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
674,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME, Not Placed
675,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, Yes, EE, Placed
676,Male, Urban,92.3, ICSE,94.1, ICSE,9.1, Yes, Yes, CS, Placed
677,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV, Not Placed
678,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS, Placed
679,Male, Rural,72.6, ICSE,89.4, ICSE,7.9, No, No, ME, Not Placed
680,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, Yes, EE, Placed
681,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, Yes, EC, Placed
682,Male, Rural,82.5, State Board,86.3, State Board,8, No, Yes, CS, Placed
683,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME, Not Placed
684,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, Yes, IS, Not Placed
685,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, Yes, CS, Placed
686,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
687,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, Yes, EC, Not Placed
688,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, Yes, CV, Placed
689,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes,No, EE, Placed
690,Male, Urban,66.8, State Board,83.4, State Board,7.1, No,No, ME, Not Placed
691,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No,No, CV, Not Placed
692,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes,No, EC, Placed
693,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes,No, CS, Placed
694,Female, Rural,72.5, State Board,87.9, State Board,7.5, No,No, EE, Not Placed
695,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes,No, ME, Placed
696,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS, Not Placed
697,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, Yes, CS, Placed
698,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
699,Male, Urban,78.5, State Board,85.5, ICSE,7.3, No,No, CS, Not Placed
700,Female, Rural,79.2, ICSE,86.7, ICSE,7.7, No, No, EE, Not Placed
